Airline,Origin,Dest,typical_distance,typical_hour
9E,ABE,ATL,692,12
9E,ABY,ATL,145,12
9E,AEX,ATL,500,11
9E,AGS,ATL,143,11
9E,AGS,AUS,949,14
9E,AGS,DCA,468,13
9E,AGS,DTW,615,12
9E,AGS,JFK,675,16
9E,AGS,LGA,678,11
9E,ALB,DTW,489,12
9E,ALB,LGA,136,7
9E,ATL,ABE,692,15
9E,ATL,ABY,145,15
9E,ATL,AEX,500,15
9E,ATL,AGS,143,15
9E,ATL,ATW,765,20
9E,ATL,AUS,813,9
9E,ATL,AVL,164,13
9E,ATL,BHM,134,18
9E,ATL,BMI,533,14
9E,ATL,BNA,214,10
9E,ATL,BQK,238,16
9E,ATL,BTR,448,13
9E,ATL,CAE,192,11
9E,ATL,CHA,106,15
9E,ATL,CHO,457,15
9E,ATL,CID,694,9
9E,ATL,CLT,226,15
9E,ATL,CRW,363,15
9E,ATL,CSG,83,16
9E,ATL,CVG,373,16
9E,ATL,DAY,432,9
9E,ATL,DHN,170,15
9E,ATL,DSM,743,9
9E,ATL,ECP,240,14
9E,ATL,EVV,350,16
9E,ATL,EYW,646,17
9E,ATL,FAY,331,14
9E,ATL,FSD,954,10
9E,ATL,FWA,508,14
9E,ATL,GNV,300,13
9E,ATL,GPT,352,10
9E,ATL,GSO,306,15
9E,ATL,GSP,153,15
9E,ATL,GTR,241,13
9E,ATL,HPN,780,13
9E,ATL,HSV,151,13
9E,ATL,ICT,782,11
9E,ATL,ILM,377,12
9E,ATL,JAN,341,11
9E,ATL,LEX,304,13
9E,ATL,LFT,503,15
9E,ATL,LIT,453,17
9E,ATL,MDT,620,15
9E,ATL,MEM,332,11
9E,ATL,MGM,147,13
9E,ATL,MLI,633,15
9E,ATL,MLU,448,16
9E,ATL,MOB,302,12
9E,ATL,MSN,707,15
9E,ATL,MSP,907,16
9E,ATL,OAJ,399,11
9E,ATL,OKC,761,10
9E,ATL,PNS,271,12
9E,ATL,RDU,356,19
9E,ATL,ROA,357,9
9E,ATL,SBN,566,11
9E,ATL,SGF,563,15
9E,ATL,SHV,551,14
9E,ATL,TLH,223,12
9E,ATL,TRI,227,13
9E,ATL,TUL,674,11
9E,ATL,TYS,152,18
9E,ATL,VLD,208,15
9E,ATL,VPS,250,13
9E,ATL,XNA,589,14
9E,ATW,ATL,765,5
9E,ATW,DTW,296,12
9E,ATW,MSP,236,12
9E,AUS,AGS,949,10
9E,AUS,CVG,958,10
9E,AUS,GNV,924,9
9E,AUS,MSP,1042,17
9E,AUS,RDU,1162,11
9E,AUS,XNA,462,13
9E,AVL,ATL,164,12
9E,AVL,LGA,599,12
9E,AZO,DTW,113,10
9E,BDL,DTW,549,18
9E,BDL,LGA,101,6
9E,BDL,MSP,1050,14
9E,BGM,DTW,378,7
9E,BGM,LGA,147,7
9E,BGR,JFK,382,7
9E,BGR,LGA,378,12
9E,BHM,ATL,134,9
9E,BHM,DTW,625,17
9E,BHM,LGA,866,11
9E,BIS,MSP,386,15
9E,BMI,ATL,533,6
9E,BNA,ATL,214,18
9E,BNA,EYW,849,12
9E,BNA,JFK,765,18
9E,BNA,LGA,764,16
9E,BNA,RDU,442,9
9E,BOS,CVG,752,10
9E,BQK,ATL,238,13
9E,BTR,ATL,448,12
9E,BTV,DTW,537,13
9E,BTV,JFK,266,11
9E,BTV,LGA,258,11
9E,BUF,DTW,241,10
9E,BUF,JFK,301,11
9E,BUF,LGA,292,10
9E,BWI,JFK,184,6
9E,CAE,ATL,192,11
9E,CAE,LGA,617,7
9E,CAE,OKC,943,16
9E,CHA,ATL,106,15
9E,CHA,DTW,505,17
9E,CHA,LGA,734,7
9E,CHO,ATL,457,12
9E,CHO,LGA,305,12
9E,CHS,DTW,667,13
9E,CHS,JFK,636,11
9E,CHS,LGA,641,11
9E,CHS,MSP,1087,15
9E,CID,ATL,694,11
9E,CID,DTW,430,9
9E,CID,MSP,220,12
9E,CLE,DTW,95,11
9E,CLE,JFK,425,11
9E,CLE,LGA,419,13
9E,CLE,MSP,622,12
9E,CLT,ATL,226,17
9E,CLT,DTW,500,12
9E,CLT,JFK,541,13
9E,CLT,LGA,544,13
9E,CLT,MSP,930,17
9E,CMH,DTW,155,13
9E,CMH,JFK,483,17
9E,CMH,LGA,479,14
9E,CMH,MSP,626,13
9E,CRW,ATL,363,12
9E,CSG,ATL,83,11
9E,CVG,ATL,373,12
9E,CVG,AUS,958,8
9E,CVG,BOS,752,7
9E,CVG,DCA,411,13
9E,CVG,DTW,229,13
9E,CVG,EWR,569,12
9E,CVG,FLL,932,16
9E,CVG,JFK,589,11
9E,CVG,LGA,585,10
9E,CVG,MSP,596,13
9E,CVG,RDU,390,19
9E,CVG,RSW,879,9
9E,CVG,TPA,773,7
9E,CWA,MSP,175,7
9E,DAY,ATL,432,11
9E,DAY,LGA,549,7
9E,DCA,AGS,468,10
9E,DCA,CVG,411,16
9E,DCA,DTW,405,6
9E,DCA,JFK,213,12
9E,DCA,MSP,931,16
9E,DCA,RDU,227,17
9E,DFW,JFK,1391,12
9E,DHN,ATL,170,11
9E,DLH,MSP,144,17
9E,DSM,ATL,743,10
9E,DSM,DTW,533,10
9E,DSM,LGA,1031,12
9E,DSM,MSP,232,11
9E,DTW,AGS,615,10
9E,DTW,ALB,489,10
9E,DTW,ATW,296,16
9E,DTW,AZO,113,12
9E,DTW,BDL,549,15
9E,DTW,BGM,378,18
9E,DTW,BHM,625,16
9E,DTW,BTV,537,14
9E,DTW,BUF,241,8
9E,DTW,CHA,505,14
9E,DTW,CHS,667,14
9E,DTW,CID,430,8
9E,DTW,CLE,95,16
9E,DTW,CLT,500,10
9E,DTW,CMH,155,12
9E,DTW,CVG,229,15
9E,DTW,DCA,405,21
9E,DTW,DSM,533,16
9E,DTW,GRB,287,12
9E,DTW,GRR,120,16
9E,DTW,GSO,460,20
9E,DTW,GSP,508,15
9E,DTW,HPN,505,21
9E,DTW,HSV,554,10
9E,DTW,IAD,383,10
9E,DTW,IND,231,12
9E,DTW,JFK,509,10
9E,DTW,LAN,74,11
9E,DTW,LEX,296,21
9E,DTW,LGA,502,7
9E,DTW,MBS,98,16
9E,DTW,MCI,629,12
9E,DTW,MDT,371,16
9E,DTW,MEM,610,8
9E,DTW,MKE,237,12
9E,DTW,MQT,349,12
9E,DTW,MSN,311,8
9E,DTW,MSY,926,10
9E,DTW,OMA,651,8
9E,DTW,ORD,235,16
9E,DTW,ORF,529,14
9E,DTW,PHL,453,10
9E,DTW,PIT,201,16
9E,DTW,PVD,615,15
9E,DTW,PWM,668,21
9E,DTW,RDU,501,12
9E,DTW,RIC,456,15
9E,DTW,ROC,296,16
9E,DTW,SBN,157,8
9E,DTW,SDF,306,16
9E,DTW,STL,440,12
9E,DTW,SYR,374,15
9E,DTW,TVC,207,10
9E,DTW,TYS,443,19
9E,DTW,XNA,715,15
9E,ECP,ATL,240,15
9E,EVV,ATL,350,11
9E,EWR,CVG,569,14
9E,EWR,RDU,416,15
9E,EYW,ATL,646,7
9E,EYW,BNA,849,16
9E,FAR,MSP,223,13
9E,FAY,ATL,331,15
9E,FLL,CVG,932,19
9E,FLL,RDU,680,11
9E,FSD,ATL,954,12
9E,FSD,MSP,196,13
9E,FWA,ATL,508,11
9E,FWA,DTW,128,8
9E,FWA,MSP,488,8
9E,GFK,MSP,284,16
9E,GNV,ATL,300,14
9E,GNV,AUS,924,14
9E,GPT,ATL,352,11
9E,GRB,DTW,287,10
9E,GRB,JAX,1027,12
9E,GRB,MSP,252,9
9E,GRR,DTW,120,14
9E,GRR,LGA,618,11
9E,GRR,MSP,408,11
9E,GSO,ATL,306,17
9E,GSO,DTW,460,7
9E,GSO,LGA,461,11
9E,GSP,ATL,153,14
9E,GSP,DTW,508,12
9E,GSP,LGA,610,12
9E,GTR,ATL,241,6
9E,HPN,ATL,780,16
9E,HPN,DTW,505,5
9E,HSV,ATL,151,14
9E,HSV,DTW,554,12
9E,HSV,OKC,616,12
9E,IAD,DTW,383,13
9E,IAD,JFK,228,12
9E,IAD,MSP,908,18
9E,ICT,ATL,782,14
9E,ICT,MSP,545,7
9E,ILM,ATL,377,14
9E,ILM,LGA,500,12
9E,IND,DTW,231,14
9E,IND,JFK,665,12
9E,IND,LGA,660,11
9E,IND,MSP,503,12
9E,ITH,JFK,189,6
9E,JAN,ATL,341,11
9E,JAX,DTW,813,16
9E,JAX,JFK,828,10
9E,JAX,LGA,833,11
9E,JFK,AGS,675,12
9E,JFK,BGR,382,22
9E,JFK,BNA,765,16
9E,JFK,BTV,266,11
9E,JFK,BUF,301,12
9E,JFK,BWI,184,18
9E,JFK,CHS,636,14
9E,JFK,CLE,425,10
9E,JFK,CLT,541,14
9E,JFK,CMH,483,15
9E,JFK,CVG,589,14
9E,JFK,DCA,213,9
9E,JFK,DFW,1391,8
9E,JFK,DTW,509,12
9E,JFK,IAD,228,11
9E,JFK,IND,665,14
9E,JFK,ITH,189,14
9E,JFK,JAX,828,14
9E,JFK,MCI,1113,13
9E,JFK,MKE,745,16
9E,JFK,MSP,1029,7
9E,JFK,ORD,740,12
9E,JFK,ORF,290,13
9E,JFK,PIT,340,13
9E,JFK,PWM,273,14
9E,JFK,RDU,427,14
9E,JFK,RIC,288,13
9E,JFK,ROC,264,17
9E,JFK,SAV,718,13
9E,JFK,SDF,662,16
9E,JFK,SYR,209,13
9E,LAN,DTW,74,12
9E,LEX,ATL,304,12
9E,LEX,DTW,296,6
9E,LFT,ATL,503,11
9E,LGA,AGS,678,8
9E,LGA,ALB,136,17
9E,LGA,AVL,599,9
9E,LGA,BDL,101,21
9E,LGA,BGM,147,19
9E,LGA,BGR,378,13
9E,LGA,BHM,866,14
9E,LGA,BNA,764,14
9E,LGA,BTV,258,15
9E,LGA,BUF,292,12
9E,LGA,CAE,617,20
9E,LGA,CHA,734,20
9E,LGA,CHO,305,15
9E,LGA,CHS,641,14
9E,LGA,CLE,419,12
9E,LGA,CLT,544,13
9E,LGA,CMH,479,11
9E,LGA,CVG,585,13
9E,LGA,DAY,549,18
9E,LGA,DSM,1031,13
9E,LGA,DTW,502,9
9E,LGA,GRR,618,15
9E,LGA,GSO,461,14
9E,LGA,GSP,610,14
9E,LGA,ILM,500,13
9E,LGA,IND,660,14
9E,LGA,JAX,833,12
9E,LGA,LIT,1085,17
9E,LGA,MCI,1107,13
9E,LGA,MEM,963,15
9E,LGA,MKE,738,10
9E,LGA,MSN,812,20
9E,LGA,MSP,1020,14
9E,LGA,MYR,563,12
9E,LGA,OMA,1148,14
9E,LGA,ORF,296,14
9E,LGA,ORH,146,13
9E,LGA,PIT,335,14
9E,LGA,PNS,1030,10
9E,LGA,PVD,143,18
9E,LGA,PWM,269,12
9E,LGA,RDU,431,13
9E,LGA,RIC,292,13
9E,LGA,ROA,405,20
9E,LGA,ROC,254,15
9E,LGA,SAV,722,14
9E,LGA,SBN,651,17
9E,LGA,SDF,659,13
9E,LGA,STL,888,12
9E,LGA,SYR,198,10
9E,LGA,TUL,1231,18
9E,LGA,TVC,655,8
9E,LGA,TYS,647,14
9E,LGA,XNA,1147,8
9E,LIT,ATL,453,17
9E,LIT,LGA,1085,7
9E,MBS,DTW,98,14
9E,MCI,BHM,594,14
9E,MCI,DTW,629,14
9E,MCI,JFK,1113,16
9E,MCI,LGA,1107,13
9E,MCI,MSP,393,15
9E,MDT,ATL,620,12
9E,MDT,DTW,371,18
9E,MDT,MSP,898,13
9E,MEM,ATL,332,12
9E,MEM,DTW,610,10
9E,MEM,LGA,963,10
9E,MEM,MSP,700,12
9E,MGM,ATL,147,12
9E,MIA,RDU,700,16
9E,MKE,DTW,237,12
9E,MKE,JFK,745,12
9E,MKE,LGA,738,15
9E,MKE,MSP,297,12
9E,MLI,ATL,633,6
9E,MLU,ATL,448,12
9E,MOB,ATL,302,13
9E,MQT,DTW,349,15
9E,MSN,ATL,707,17
9E,MSN,DTW,311,9
9E,MSN,LGA,812,7
9E,MSN,MSP,228,14
9E,MSP,ATW,236,12
9E,MSP,BDL,1050,10
9E,MSP,BIS,386,13
9E,MSP,CHS,1087,10
9E,MSP,CID,220,14
9E,MSP,CLE,622,9
9E,MSP,CLT,930,12
9E,MSP,CMH,626,10
9E,MSP,CVG,596,13
9E,MSP,CWA,175,15
9E,MSP,DCA,931,11
9E,MSP,DLH,144,16
9E,MSP,DSM,232,15
9E,MSP,FAR,223,11
9E,MSP,FSD,196,11
9E,MSP,FWA,488,19
9E,MSP,GFK,284,15
9E,MSP,GRB,252,15
9E,MSP,GRR,408,9
9E,MSP,IAD,908,7
9E,MSP,ICT,545,18
9E,MSP,IND,503,9
9E,MSP,JFK,1029,19
9E,MSP,MCI,393,12
9E,MSP,MDT,898,9
9E,MSP,MEM,700,9
9E,MSP,MKE,297,10
9E,MSP,MSN,228,14
9E,MSP,OMA,282,8
9E,MSP,ORD,334,7
9E,MSP,ORF,1045,13
9E,MSP,PIT,726,9
9E,MSP,RAP,489,14
9E,MSP,RDU,980,15
9E,MSP,RIC,970,20
9E,MSP,RST,76,16
9E,MSP,SAV,1092,10
9E,MSP,SBN,411,19
9E,MSP,SDF,604,10
9E,MSP,STL,448,13
9E,MSP,SYR,860,20
9E,MSP,TVC,376,10
9E,MSP,TYS,792,19
9E,MSP,XNA,596,14
9E,MSY,DTW,926,13
9E,MYR,LGA,563,13
9E,OAJ,ATL,399,13
9E,OKC,ATL,761,17
9E,OKC,CAE,943,10
9E,OKC,HSV,616,13
9E,OMA,DTW,651,12
9E,OMA,LGA,1148,12
9E,OMA,MSP,282,10
9E,ORD,DTW,235,17
9E,ORD,JFK,740,10
9E,ORD,MSP,334,10
9E,ORF,DTW,529,12
9E,ORF,JFK,290,11
9E,ORF,LGA,296,11
9E,ORF,MSP,1045,18
9E,ORH,LGA,146,16
9E,PHL,DTW,453,12
9E,PIT,DTW,201,17
9E,PIT,JFK,340,16
9E,PIT,LGA,335,17
9E,PIT,MSP,726,12
9E,PNS,ATL,271,13
9E,PNS,LGA,1030,14
9E,PVD,DTW,615,13
9E,PVD,LGA,143,8
9E,PWM,DTW,668,5
9E,PWM,JFK,273,14
9E,PWM,LGA,269,15
9E,RAP,MSP,489,11
9E,RDU,ATL,356,8
9E,RDU,AUS,1162,7
9E,RDU,BNA,442,8
9E,RDU,CVG,390,7
9E,RDU,DCA,227,15
9E,RDU,DTW,501,15
9E,RDU,EWR,416,12
9E,RDU,FLL,680,8
9E,RDU,JFK,427,11
9E,RDU,LGA,431,12
9E,RDU,MIA,700,13
9E,RDU,MSP,980,10
9E,RDU,TLH,496,17
9E,RDU,TPA,587,7
9E,RIC,DTW,456,12
9E,RIC,JFK,288,15
9E,RIC,LGA,292,13
9E,RIC,MSP,970,7
9E,ROA,ATL,357,11
9E,ROA,LGA,405,7
9E,ROC,DTW,296,13
9E,ROC,JFK,264,12
9E,ROC,LGA,254,11
9E,RST,MSP,76,13
9E,RSW,CVG,879,13
9E,SAV,JFK,718,11
9E,SAV,LGA,722,12
9E,SAV,MSP,1092,15
9E,SBN,ATL,566,10
9E,SBN,DTW,157,12
9E,SBN,LGA,651,8
9E,SBN,TLH,788,13
9E,SDF,DTW,306,10
9E,SDF,JFK,662,19
9E,SDF,LGA,659,17
9E,SDF,MSP,604,13
9E,SGF,ATL,563,11
9E,SHV,ATL,551,10
9E,STL,DTW,440,14
9E,STL,LGA,888,12
9E,STL,MSP,448,15
9E,SYR,DTW,374,12
9E,SYR,JFK,209,10
9E,SYR,LGA,198,11
9E,SYR,MSP,860,6
9E,TLH,ATL,223,14
9E,TLH,RDU,496,10
9E,TLH,SBN,788,12
9E,TPA,CVG,773,10
9E,TPA,RDU,587,10
9E,TRI,ATL,227,13
9E,TUL,ATL,674,12
9E,TUL,LGA,1231,8
9E,TVC,DTW,207,12
9E,TVC,LGA,655,10
9E,TVC,MSP,376,13
9E,TYS,ATL,152,9
9E,TYS,DTW,443,7
9E,TYS,LGA,647,11
9E,TYS,MSP,792,6
9E,TYS,XNA,578,16
9E,VLD,ATL,208,12
9E,VPS,ATL,250,14
9E,XNA,ATL,589,12
9E,XNA,AUS,462,14
9E,XNA,DTW,715,17
9E,XNA,LGA,1147,11
9E,XNA,MSP,596,17
9E,XNA,TYS,578,10
AA,ABQ,AUS,619,12
AA,ABQ,DFW,569,10
AA,ABQ,ORD,1118,13
AA,ABQ,PHX,328,12
AA,AGS,CLT,140,13
AA,AGS,DFW,874,16
AA,AGS,PHX,1731,12
AA,ALB,CLT,646,11
AA,ALB,DFW,1435,6
AA,AMA,DFW,312,12
AA,ANC,DFW,3043,20
AA,ANC,ORD,2846,21
AA,ATL,AUS,813,18
AA,ATL,CLT,226,7
AA,ATL,DCA,547,7
AA,ATL,DFW,731,12
AA,ATL,LAX,1947,16
AA,ATL,MIA,594,11
AA,ATL,ORD,606,7
AA,ATL,PHL,666,12
AA,ATL,PHX,1587,8
AA,AUS,ABQ,619,10
AA,AUS,ATL,813,12
AA,AUS,BOS,1698,17
AA,AUS,CLT,1032,11
AA,AUS,DFW,190,12
AA,AUS,DTW,1149,11
AA,AUS,JFK,1521,11
AA,AUS,LAS,1090,15
AA,AUS,LAX,1242,14
AA,AUS,MCO,994,8
AA,AUS,MIA,1103,7
AA,AUS,MSY,444,10
AA,AUS,ORD,977,8
AA,AUS,PHL,1430,13
AA,AUS,PHX,872,12
AA,AUS,RDU,1162,8
AA,AUS,SNA,1209,10
AA,AUS,TPA,928,18
AA,AVL,CLT,91,7
AA,AVL,DFW,848,16
AA,AVP,CLT,509,11
AA,BDL,CLT,644,10
AA,BDL,DCA,313,17
AA,BDL,DFW,1471,6
AA,BDL,MIA,1194,6
AA,BDL,ORD,783,7
AA,BDL,PHL,196,8
AA,BFL,DFW,1271,6
AA,BFL,PHX,425,12
AA,BGR,CLT,921,16
AA,BGR,DCA,590,13
AA,BGR,PHL,473,6
AA,BHM,CLT,350,10
AA,BHM,DFW,597,9
AA,BHM,MSN,675,15
AA,BHM,ORD,584,15
AA,BNA,CLT,328,10
AA,BNA,DCA,562,6
AA,BNA,DFW,631,11
AA,BNA,LAX,1797,7
AA,BNA,LGA,764,19
AA,BNA,MIA,806,7
AA,BNA,ORD,409,7
AA,BNA,PHL,675,11
AA,BNA,PHX,1449,17
AA,BOI,DFW,1272,11
AA,BOI,PHX,735,14
AA,BOS,AUS,1698,8
AA,BOS,CLT,728,10
AA,BOS,DCA,399,12
AA,BOS,DFW,1562,12
AA,BOS,JFK,187,18
AA,BOS,LAX,2611,12
AA,BOS,LGA,184,11
AA,BOS,MIA,1258,9
AA,BOS,MSN,932,15
AA,BOS,ORD,867,12
AA,BOS,PBI,1197,14
AA,BOS,PHL,280,10
AA,BOS,PHX,2300,10
AA,BTV,CLT,761,11
AA,BTV,DCA,437,12
AA,BTV,DFW,1510,16
AA,BTV,PHL,335,7
AA,BUF,CLT,546,10
AA,BUF,DCA,296,12
AA,BUF,DFW,1212,6
AA,BUF,MIA,1185,6
AA,BUF,ORD,474,11
AA,BUF,PHL,279,12
AA,BUR,DFW,1231,7
AA,BUR,PHX,369,10
AA,BWI,CLT,361,12
AA,BWI,DFW,1217,13
AA,BWI,MIA,946,6
AA,BWI,ORD,622,7
AA,BZN,CLT,1736,12
AA,BZN,DFW,1163,13
AA,BZN,ORD,1185,13
AA,CAE,DFW,922,7
AA,CHS,CLT,168,11
AA,CHS,DCA,444,11
AA,CHS,DFW,987,14
AA,CHS,MIA,489,6
AA,CHS,ORD,760,11
AA,CHS,PHL,550,11
AA,CID,CLT,742,7
AA,CID,DFW,685,13
AA,CID,ORD,196,6
AA,CID,PHX,1252,14
AA,CLE,CLT,430,9
AA,CLE,DFW,1021,11
AA,CLE,MIA,1080,6
AA,CLE,ORD,316,6
AA,CLE,PHL,363,11
AA,CLE,PHX,1737,7
AA,CLT,AGS,140,11
AA,CLT,ALB,646,14
AA,CLT,ATL,226,20
AA,CLT,AUS,1032,15
AA,CLT,AVL,91,20
AA,CLT,AVP,509,16
AA,CLT,BDL,644,14
AA,CLT,BGR,921,13
AA,CLT,BHM,350,18
AA,CLT,BNA,328,18
AA,CLT,BOS,728,14
AA,CLT,BTV,761,9
AA,CLT,BUF,546,15
AA,CLT,BWI,361,15
AA,CLT,BZN,1736,9
AA,CLT,CHS,168,16
AA,CLT,CID,742,21
AA,CLT,CLE,430,16
AA,CLT,CMH,347,18
AA,CLT,CVG,335,17
AA,CLT,DAB,416,16
AA,CLT,DCA,331,16
AA,CLT,DEN,1337,15
AA,CLT,DFW,936,14
AA,CLT,DSM,815,16
AA,CLT,DTW,500,15
AA,CLT,ECP,437,9
AA,CLT,EWR,529,14
AA,CLT,EYW,736,12
AA,CLT,FLL,632,14
AA,CLT,GEG,2060,19
AA,CLT,GRR,583,14
AA,CLT,GSO,83,19
AA,CLT,GSP,75,16
AA,CLT,IAD,322,8
AA,CLT,IAH,912,15
AA,CLT,ILM,185,18
AA,CLT,IND,427,16
AA,CLT,JAC,1685,9
AA,CLT,JAX,328,16
AA,CLT,JFK,541,15
AA,CLT,LAS,1916,15
AA,CLT,LAX,2125,14
AA,CLT,LEX,281,16
AA,CLT,LGA,544,14
AA,CLT,LIT,640,11
AA,CLT,MCI,808,14
AA,CLT,MCO,468,14
AA,CLT,MDT,413,16
AA,CLT,MEM,511,17
AA,CLT,MHT,737,12
AA,CLT,MIA,650,14
AA,CLT,MKE,651,16
AA,CLT,MSN,708,20
AA,CLT,MSP,930,15
AA,CLT,MSY,651,14
AA,CLT,MYR,157,18
AA,CLT,OKC,940,20
AA,CLT,OMA,913,12
AA,CLT,ONT,2078,18
AA,CLT,ORD,599,14
AA,CLT,ORF,290,14
AA,CLT,PBI,590,13
AA,CLT,PDX,2282,18
AA,CLT,PHL,449,14
AA,CLT,PHX,1773,14
AA,CLT,PIT,366,14
AA,CLT,PNS,488,9
AA,CLT,PVD,683,14
AA,CLT,PWM,813,18
AA,CLT,RAP,1322,9
AA,CLT,RDU,130,14
AA,CLT,RIC,257,16
AA,CLT,ROC,573,16
AA,CLT,RSW,600,14
AA,CLT,SAN,2077,11
AA,CLT,SAT,1095,15
AA,CLT,SAV,213,18
AA,CLT,SDF,335,18
AA,CLT,SEA,2279,16
AA,CLT,SFO,2296,17
AA,CLT,SJU,1475,11
AA,CLT,SLC,1727,18
AA,CLT,SMF,2244,18
AA,CLT,SNA,2099,18
AA,CLT,SRQ,547,14
AA,CLT,STL,575,15
AA,CLT,STT,1520,9
AA,CLT,STX,1562,11
AA,CLT,SYR,603,14
AA,CLT,TPA,507,14
AA,CLT,TUL,842,20
AA,CLT,TYS,177,18
AA,CLT,VPS,460,14
AA,CLT,XNA,754,13
AA,CMH,CLT,347,8
AA,CMH,DFW,926,12
AA,CMH,EUG,2072,16
AA,CMH,LAX,1995,13
AA,CMH,MIA,990,5
AA,CMH,ORD,296,18
AA,CMH,PHL,406,16
AA,CMH,PHX,1670,7
AA,COS,DFW,592,10
AA,CVG,CLT,335,12
AA,CVG,DFW,812,11
AA,CVG,MIA,948,5
AA,CVG,PHL,507,12
AA,CVG,PHX,1569,7
AA,DAB,CLT,416,10
AA,DAB,DFW,981,12
AA,DCA,ATL,547,20
AA,DCA,BDL,313,15
AA,DCA,BGR,590,11
AA,DCA,BNA,562,20
AA,DCA,BOS,399,15
AA,DCA,BTV,437,10
AA,DCA,BUF,296,10
AA,DCA,CHS,444,16
AA,DCA,CLT,331,12
AA,DCA,DFW,1192,11
AA,DCA,ECP,769,14
AA,DCA,EYW,1023,10
AA,DCA,FLL,899,10
AA,DCA,IND,500,14
AA,DCA,JAX,634,14
AA,DCA,LAS,2089,7
AA,DCA,LAX,2311,8
AA,DCA,LGA,214,14
AA,DCA,MCI,949,20
AA,DCA,MCO,759,10
AA,DCA,MIA,919,11
AA,DCA,MKE,634,16
AA,DCA,MSP,931,15
AA,DCA,MSY,969,12
AA,DCA,OKC,1158,13
AA,DCA,ORD,612,11
AA,DCA,PBI,857,8
AA,DCA,PHL,119,22
AA,DCA,PHX,1979,10
AA,DCA,PIT,204,17
AA,DCA,PNS,816,8
AA,DCA,PVD,356,10
AA,DCA,PWM,482,14
AA,DCA,RDU,227,20
AA,DCA,RSW,892,8
AA,DCA,SDF,474,9
AA,DCA,SRQ,851,8
AA,DCA,STL,719,19
AA,DCA,SYR,298,10
AA,DCA,TPA,814,13
AA,DCA,TUL,1049,14
AA,DCA,VPS,789,11
AA,DEN,CLT,1337,10
AA,DEN,DFW,641,10
AA,DEN,MIA,1709,6
AA,DEN,ORD,888,12
AA,DEN,PHL,1558,12
AA,DEN,PHX,602,12
AA,DFW,ABQ,569,15
AA,DFW,AGS,874,12
AA,DFW,ALB,1435,19
AA,DFW,AMA,312,16
AA,DFW,ANC,3043,15
AA,DFW,ATL,731,14
AA,DFW,AUS,190,16
AA,DFW,AVL,848,12
AA,DFW,BDL,1471,18
AA,DFW,BFL,1271,19
AA,DFW,BHM,597,17
AA,DFW,BNA,631,14
AA,DFW,BOI,1272,12
AA,DFW,BOS,1562,12
AA,DFW,BTV,1510,10
AA,DFW,BUF,1212,18
AA,DFW,BUR,1231,10
AA,DFW,BWI,1217,14
AA,DFW,BZN,1163,10
AA,DFW,CAE,922,13
AA,DFW,CHS,987,15
AA,DFW,CID,685,16
AA,DFW,CLE,1021,14
AA,DFW,CLT,936,12
AA,DFW,CMH,926,13
AA,DFW,COS,592,15
AA,DFW,CVG,812,16
AA,DFW,DAB,981,8
AA,DFW,DCA,1192,12
AA,DFW,DEN,641,14
AA,DFW,DRO,674,14
AA,DFW,DSM,624,15
AA,DFW,DTW,986,14
AA,DFW,ECP,685,13
AA,DFW,EGE,721,10
AA,DFW,ELP,551,17
AA,DFW,EUG,1606,19
AA,DFW,EWR,1372,14
AA,DFW,EYW,1089,12
AA,DFW,FAT,1313,16
AA,DFW,FCA,1390,9
AA,DFW,FLL,1119,13
AA,DFW,FSD,737,10
AA,DFW,GEG,1477,17
AA,DFW,GRR,931,15
AA,DFW,GSO,999,14
AA,DFW,GSP,862,16
AA,DFW,GUC,678,10
AA,DFW,HDN,769,12
AA,DFW,HNL,3784,11
AA,DFW,HSV,603,14
AA,DFW,IAD,1172,12
AA,DFW,IAH,224,16
AA,DFW,ICT,328,16
AA,DFW,ILM,1106,12
AA,DFW,IND,761,15
AA,DFW,JAC,1047,10
AA,DFW,JAX,918,14
AA,DFW,JFK,1391,12
AA,DFW,LAS,1055,16
AA,DFW,LAX,1235,14
AA,DFW,LBB,282,20
AA,DFW,LEX,785,10
AA,DFW,LGA,1389,12
AA,DFW,LIT,304,16
AA,DFW,MCI,460,15
AA,DFW,MCO,985,14
AA,DFW,MDT,1231,19
AA,DFW,MEM,431,16
AA,DFW,MFE,469,17
AA,DFW,MIA,1121,12
AA,DFW,MKE,853,14
AA,DFW,MRY,1430,10
AA,DFW,MSN,821,14
AA,DFW,MSO,1320,10
AA,DFW,MSP,852,14
AA,DFW,MSY,447,14
AA,DFW,MTJ,722,10
AA,DFW,MYR,1048,13
AA,DFW,OGG,3711,11
AA,DFW,OKC,175,16
AA,DFW,OMA,583,14
AA,DFW,ONT,1188,12
AA,DFW,ORD,802,12
AA,DFW,ORF,1212,14
AA,DFW,PBI,1102,14
AA,DFW,PDX,1616,16
AA,DFW,PHL,1303,12
AA,DFW,PHX,868,15
AA,DFW,PIT,1067,13
AA,DFW,PNS,604,15
AA,DFW,PSP,1126,12
AA,DFW,PWM,1622,10
AA,DFW,RAP,835,10
AA,DFW,RDM,1514,10
AA,DFW,RDU,1061,15
AA,DFW,RIC,1158,14
AA,DFW,RNO,1345,12
AA,DFW,RSW,1017,15
AA,DFW,SAN,1171,14
AA,DFW,SAT,247,16
AA,DFW,SAV,925,14
AA,DFW,SBA,1316,10
