Airline,total_flights,delay_rate,avg_delay
9E,195072,0.15831077755905512,1.6819123195538057
AA,966116,0.2613402531373044,15.30791644067586
AS,240323,0.2207196148516788,4.467857841321887
B6,235683,0.2550926456299351,10.739641807003474
DL,997846,0.17264287274789897,3.6570753402829697
F9,203482,0.28740134262490047,15.247771301638474
G4,114882,0.21671802371128637,9.710381086680245
HA,77633,0.15454767946620637,4.246660569603133
MQ,275317,0.20860317379602422,6.457716014630408
NK,255633,0.23926097178376812,8.415318053615925
OH,223673,0.21770173422809191,10.026784636500606
OO,733886,0.189980460180464,7.355390346729601
UA,745818,0.19859000453193676,5.742943989016087
WN,1404597,0.20604771332987326,5.125102075541952
YX,295306,0.1407150548922135,-1.7943489126533156
